Respondent,Assigned Segment,I always choose higher end hotels,On vacation I pride myself on discovering new places and things my friends have not seen before,I choose more expensive hotels and accommodations to make sure I get the best service and amenities,It is important for me to be in a luxurious setting and to be pampered on vacation,I like to immerse myself in the local culture when on vacation,The difference between luxury and standard hotels just is not big enough to justify the cost,I always pay more for a higher class of room on my vacations,I would rather spend as little as possible on accommodations so I have more money to spend on other parts of my vacation,I think spending more for unique experiences is part of what makes a vacation special,I like to go on vacations that are off the beaten path,Cheap + Comfy,Cheap + Curious,Curious,Comfy,Craver,Caviar
494585,Curious,3,5,2,4,4,4,2,5,2,5,63.45,64.22,67.08,64.25,62.97,56.89
494584,Cheap + Curious,2,5,2,2,5,5,1,3,5,4,63.99,70.18,66.60,58.84,54.75,49.95
494583,Craver,5,5,5,4,5,2,3,4,4,4,77.96,76.17,92.72,91.32,99.07,96.90
494581,Caviar,5,3,5,5,3,1,4,3,4,3,60.89,49.71,71.89,78.00,81.63,84.75
494580,Cheap + Comfy,2,2,2,4,4,4,1,3,4,3,47.43,43.58,45.10,45.78,37.59,36.74
494579,Craver,5,5,5,5,5,1,4,4,5,3,79.72,76.65,96.86,97.10,107.65,106.33
494578,Caviar,5,3,5,5,3,2,5,2,5,3,68.01,57.00,80.52,86.51,92.21,94.96
494577,Craver,5,4,5,5,3,4,4,3,5,4,81.88,75.05,94.71,97.36,105.46,102.88
494576,Craver,4,5,4,5,5,3,3,5,5,5,86.71,88.61,101.06,97.58,107.13,100.47
494574,Caviar,5,5,4,4,5,1,3,3,3,3,62.49,58.62,74.49,74.61,78.54,79.64
494573,Caviar,5,5,5,5,5,1,3,2,5,3,71.52,67.78,87.92,87.81,96.28,97.63
494572,Curious,3,5,3,1,5,5,2,3,5,4,70.20,75.03,75.53,68.55,66.47,62.51
494571,Caviar,5,5,5,5,5,1,2,2,2,4,60.57,55.09,73.93,74.63,79.30,81.52
494570,Craver,5,5,4,5,5,5,5,4,4,5,96.82,95.73,112.38,111.25,123.73,116.18
494569,Caviar,4,4,4,5,3,2,4,2,5,2,60.24,51.94,69.51,73.55,76.15,78.44
494568,Caviar,4,4,4,4,4,2,3,2,3,4,56.08,50.28,64.65,65.98,66.15,68.29
494567,Caviar,4,5,4,4,5,2,3,2,4,4,65.77,64.26,77.96,76.04,79.99,80.35
494566,Curious,3,5,3,3,3,2,3,1,4,4,47.13,44.00,53.27,52.16,48.56,51.77
494563,Caviar,5,3,4,5,4,2,5,2,4,3,65.35,55.62,76.73,81.94,86.74,88.97
494562,Craver,5,5,3,5,5,3,4,4,5,5,86.70,87.53,102.06,99.30,110.05,104.13
494561,Curious,4,5,3,4,5,4,2,5,2,5,73.27,74.13,80.88,77.77,80.50,74.06
494560,Caviar,4,3,4,5,3,2,3,2,2,3,46.74,35.06,51.63,57.83,55.29,59.18
494559,Craver,4,5,4,5,5,1,4,4,5,4,75.39,74.74,90.74,89.27,97.77,95.70
494558,Caviar,5,5,5,5,5,1,4,1,5,3,70.76,65.89,88.13,88.84,97.80,100.57
494557,Caviar,4,4,4,4,3,2,4,2,4,4,58.24,51.40,67.48,69.79,70.87,73.14
494556,Curious,3,4,2,2,3,3,3,2,4,5,48.83,47.26,51.76,49.62,43.56,44.42
494555,Craver,3,5,1,5,3,5,3,5,5,3,72.76,73.10,76.28,74.75,76.47,68.29
494554,Curious,3,4,3,2,4,4,3,3,4,5,62.50,62.56,67.45,64.37,61.54,59.61
494553,Caviar,5,5,5,4,4,2,4,1,5,3,69.27,63.70,83.99,84.93,91.31,93.91
494552,Craver,4,5,4,5,5,2,3,3,1,4,60.39,55.61,70.29,71.32,74.07,73.95
494551,Caviar,5,5,5,5,5,1,5,1,5,5,76.74,73.22,96.91,96.50,107.86,109.61
494550,Caviar,5,5,5,5,5,2,4,1,5,1,71.36,64.82,86.32,88.66,96.67,99.22
494549,Caviar,4,3,4,3,4,1,4,2,4,4,52.72,46.24,61.47,63.45,62.28,66.62
494548,Curious,3,5,2,3,5,4,2,4,4,4,67.03,70.63,72.21,66.99,66.34,61.21
494547,Caviar,4,3,4,4,3,2,4,2,3,3,50.28,39.78,56.19,61.54,59.43,63.47
494546,Caviar,4,3,5,5,3,1,4,1,3,3,47.90,35.16,56.64,63.49,63.17,69.75
494545,Caviar,4,5,3,4,4,1,3,4,3,3,55.66,52.29,63.60,63.84,64.30,64.38
494544,Caviar,5,3,4,5,3,1,4,1,4,5,55.93,46.21,67.66,71.83,74.76,79.08
494542,Curious,3,5,3,3,4,4,3,4,5,5,73.79,76.53,81.94,77.29,79.25,74.14
494541,Craver,4,3,3,5,5,3,3,3,5,3,69.15,65.45,77.74,78.57,81.98,80.16
494540,Caviar,4,4,5,5,4,2,4,1,4,3,61.94,53.71,73.80,77.25,81.13,84.62
494539,Craver,4,5,4,4,4,4,2,4,4,5,76.47,76.53,86.32,83.36,87.62,82.58
494538,Craver,4,4,4,4,5,3,2,3,4,2,64.57,60.90,72.05,72.29,73.45,72.90
494536,Craver,3,5,3,5,5,4,3,3,3,5,71.80,72.07,81.01,78.45,82.31,77.84
494535,Caviar,5,5,5,5,5,1,5,1,5,3,72.99,67.58,91.25,92.62,102.60,105.44
494534,Caviar,5,5,5,5,5,1,5,1,5,4,74.86,70.40,94.08,94.56,105.23,107.52
494533,Comfy,3,4,3,3,4,1,3,2,4,3,44.96,41.19,50.47,50.48,46.22,50.10
494532,Craver,3,5,5,4,4,3,3,3,4,4,68.75,66.43,79.07,78.06,80.98,79.91
494531,Curious,4,4,3,3,4,3,4,2,4,5,63.10,60.44,71.81,70.78,71.49,71.48
494530,Caviar,5,3,5,5,5,1,5,1,4,3,64.36,54.60,78.91,83.77,89.90,94.70
494529,Caviar,4,5,4,4,5,1,4,2,5,3,65.31,63.17,78.97,77.96,82.97,84.75
494528,Cheap + Comfy,1,1,1,1,5,5,1,3,3,3,36.41,35.08,27.02,25.57,8.61,8.64
494527,Curious,4,5,3,4,4,4,2,4,4,5,73.74,74.57,82.25,78.82,82.06,76.57
494526,Craver,5,5,5,5,5,3,5,3,5,5,91.40,89.55,110.42,109.42,122.68,119.08
494525,Craver,4,4,4,5,3,3,4,4,5,4,74.31,69.33,84.83,86.64,92.10,89.26
494524,Caviar,4,5,4,3,5,3,4,1,4,5,69.00,68.19,81.72,78.86,82.66,83.17
494523,Caviar,3,4,3,4,5,2,3,2,4,3,55.13,52.53,62.30,61.79,60.96,62.39
494522,Comfy,3,4,3,3,3,4,3,3,4,3,57.37,53.32,60.06,60.60,56.87,56.00
494520,Craver,4,5,4,3,5,3,4,3,2,5,67.92,66.15,78.40,76.81,79.37,78.12
494519,Caviar,4,4,4,3,5,2,4,1,4,4,60.23,56.60,71.16,70.68,72.02,75.12
494518,Caviar,5,3,4,4,3,1,2,2,4,3,48.49,39.19,55.54,59.27,57.58,62.08
494517,Curious,3,5,3,3,5,3,3,3,4,5,66.54,68.94,75.48,70.81,71.92,69.42
494516,Caviar,4,3,4,5,3,1,5,4,4,2,58.02,47.44,66.15,72.83,74.58,76.73
494515,Caviar,5,3,5,4,4,2,5,2,4,3,65.86,56.00,77.68,82.62,86.70,89.95
494512,Craver,5,5,5,5,5,3,5,1,5,5,85.43,82.37,104.61,103.91,116.11,115.24
494511,Craver,5,4,5,5,4,4,5,4,5,3,88.83,82.70,102.77,105.71,115.94,112.03
494509,Caviar,5,4,5,5,5,1,5,1,5,4,72.31,66.21,90.20,92.03,101.34,104.37
494507,Curious,3,4,3,3,4,2,3,4,4,4,57.15,55.76,62.96,61.64,59.55,58.84
494506,Craver,5,5,5,5,5,4,5,3,5,3,92.00,88.49,108.61,109.24,121.55,117.72
494505,Craver,5,5,5,5,5,3,3,2,3,4,75.02,70.54,89.31,89.60,97.29,96.46
494504,Craver,3,4,3,4,5,2,4,3,5,4,65.75,65.23,75.73,74.05,76.61,75.71
494503,Craver,4,5,4,5,4,2,5,3,4,4,71.84,67.63,85.38,86.48,93.47,92.56
494502,Caviar,4,5,5,5,3,1,5,1,4,2,56.90,47.02,69.27,74.19,78.05,83.27
494501,Craver,5,5,3,5,4,3,4,3,4,5,76.57,74.15,89.73,89.02,96.81,93.31
494499,Craver,4,5,4,5,4,3,3,4,3,5,73.05,70.62,84.15,83.53,88.96,85.20
494498,Curious,4,4,3,3,5,3,2,3,4,3,61.49,60.19,67.68,65.83,64.93,63.96
494497,Craver,4,5,4,5,5,3,3,4,5,4,81.84,82.20,95.32,92.89,101.22,96.46
494496,Curious,3,4,2,4,4,4,3,5,5,3,69.98,69.90,74.35,72.94,73.43,67.77
494495,Caviar,4,4,4,3,4,2,3,2,4,3,55.51,50.49,63.26,63.96,62.86,65.63
494494,Curious,2,5,3,2,5,4,2,4,3,4,60.53,63.64,63.72,58.67,54.41,51.03
494493,Caviar,5,4,4,5,4,1,4,1,4,3,58.34,49.95,70.75,74.23,78.40,82.52
494492,Curious,2,5,3,5,4,4,2,3,5,4,67.67,68.81,74.47,71.30,72.77,68.60
494490,Curious,3,4,3,3,4,3,2,4,4,2,55.52,53.00,58.03,57.67,53.61,52.62
494489,Curious,4,5,3,3,5,4,2,4,3,3,67.84,67.93,73.75,71.05,71.29,67.40
494488,Caviar,5,3,4,4,3,2,3,2,3,3,51.53,40.86,57.94,62.98,61.58,65.32
494487,Curious,3,4,4,3,5,2,3,3,4,5,62.37,62.13,71.82,69.11,69.46,69.46
494486,Craver,5,5,5,5,3,3,4,4,4,4,79.54,73.65,93.09,95.17,103.57,100.68
494485,Craver,5,5,5,5,5,3,4,4,5,4,90.29,88.62,107.38,106.45,118.54,114.05
494484,Caviar,5,4,5,5,3,1,5,2,4,3,62.69,52.00,75.99,81.57,87.04,90.85
494482,Curious,5,5,1,3,5,5,1,5,5,5,81.77,88.11,88.90,81.29,84.86,75.04
494480,Curious,3,5,3,3,4,3,2,4,4,3,59.94,60.01,64.75,62.15,60.12,57.85
494479,Caviar,4,4,4,4,4,3,3,2,3,2,56.68,49.22,62.84,65.80,65.02,66.94
494478,Comfy,4,4,4,3,3,4,2,4,2,4,59.15,53.55,62.48,63.72,60.63,58.97
494477,Caviar,4,5,5,5,5,1,3,1,5,5,68.80,67.06,85.81,83.70,91.29,93.16
494475,Comfy,3,2,2,3,3,3,3,3,2,2,36.26,26.37,32.40,37.78,26.92,29.92
494474,Comfy,3,5,4,4,1,2,2,1,2,3,33.71,23.44,35.67,39.79,32.38,38.04
494473,Caviar,4,4,4,5,4,3,3,1,4,2,59.45,51.82,67.62,70.68,72.27,74.49
494472,Craver,5,5,4,3,5,2,4,3,5,4,75.77,75.34,90.29,87.73,94.37,93.27
494471,Craver,4,5,3,5,5,4,5,1,5,3,77.08,74.62,89.78,89.41,96.91,95.16
494470,Craver,5,4,5,5,4,4,5,3,4,3,82.31,74.51,95.29,99.18,107.72,105.67
494469,Cheap + Comfy,2,3,2,2,3,4,4,2,4,3,45.63,40.93,44.32,45.46,36.39,38.06
494468,Craver,5,2,5,5,5,3,4,2,5,5,78.53,71.70,92.74,95.26,102.94,102.85
494467,Caviar,4,4,4,4,4,2,5,1,5,4,64.61,59.30,77.11,78.35,82.34,84.99
494466,Curious,3,4,3,4,5,2,2,4,4,3,58.88,58.01,65.00,63.51,62.73,61.37
494465,Caviar,5,3,5,5,3,1,3,3,5,3,62.19,52.62,73.34,77.99,81.76,84.33
494463,Curious,3,5,3,3,3,4,1,1,5,4,54.89,54.37,59.29,55.77,52.13,52.11
494462,Curious,3,4,2,2,3,4,2,4,4,4,55.05,54.49,55.47,53.10,46.82,44.12
494461,Caviar,5,5,5,5,5,1,5,1,5,5,76.74,73.22,96.91,96.50,107.86,109.61
494460,Caviar,3,5,4,4,4,2,3,2,4,5,60.56,59.13,71.07,69.00,70.64,71.25
494459,Curious,3,5,3,3,5,5,3,3,3,5,71.70,73.49,78.60,74.43,75.24,70.61
494458,Curious,3,5,3,3,5,3,4,2,3,5,62.25,62.44,71.12,68.06,68.50,67.93
494456,Curious,3,5,3,3,5,4,2,4,5,4,73.30,77.20,80.85,75.31,76.83,71.65
494453,Caviar,5,3,5,5,3,2,5,2,5,3,68.01,57.00,80.52,86.51,92.21,94.96
494451,Caviar,5,5,5,5,5,2,5,1,5,4,79.21,74.98,97.93,98.27,109.36,110.34
494450,Caviar,5,5,5,5,4,1,4,1,5,3,67.15,60.70,83.27,85.09,92.78,96.11
494449,Caviar,3,4,4,4,4,2,4,2,4,3,56.49,50.99,64.64,66.37,66.31,68.80
494447,Craver,5,5,5,5,5,5,5,1,5,5,94.12,91.53,112.30,111.31,124.37,120.87
494446,Craver,4,5,5,5,4,2,4,3,5,3,73.99,69.68,88.07,89.07,96.52,96.05
494445,Caviar,4,5,4,3,5,2,3,1,4,5,62.43,61.92,74.76,71.37,73.73,75.49
494444,Curious,3,3,3,4,5,3,1,5,4,4,63.30,63.11,67.58,65.59,64.08,60.18
494443,Caviar,4,4,4,4,4,3,4,2,4,4,66.19,61.16,76.18,77.24,80.02,80.42
494442,Cheap + Curious,1,5,2,2,4,4,2,3,4,5,53.13,57.56,54.41,48.11,41.15,38.46
494440,Caviar,5,4,5,5,3,1,3,2,4,2,56.35,45.80,66.92,72.06,74.80,79.03
494439,Caviar,5,5,5,3,4,1,4,1,3,5,59.39,53.97,73.54,73.70,76.97,81.35
494438,Craver,3,5,4,4,4,3,3,2,4,4,63.03,60.88,72.08,70.77,72.14,71.98
494437,Caviar,5,4,5,5,4,1,4,2,5,4,69.46,62.92,85.13,87.25,94.81,96.97
494436,Curious,3,5,3,3,5,3,3,3,5,5,70.07,73.55,80.04,74.58,76.85,73.87
494435,Caviar,5,3,5,5,3,1,3,2,4,3,55.67,44.43,65.86,71.46,73.54,77.97
494434,Craver,4,5,4,3,5,4,3,3,5,5,80.62,82.85,92.83,88.06,93.49,89.40
494433,Curious,3,5,2,5,5,5,2,4,4,3,73.96,75.54,79.48,76.47,79.03,71.98
494432,Craver,3,5,4,3,5,3,4,4,5,5,78.02,80.79,90.15,85.67,90.50,86.65
494431,Comfy,3,3,4,3,4,3,4,3,5,3,62.57,57.99,68.95,70.21,69.17,69.81
494429,Caviar,5,3,5,5,3,1,5,3,5,3,66.65,56.01,79.58,85.56,91.37,94.06
494428,Comfy,3,2,5,5,2,2,1,2,4,3,42.44,30.70,45.00,50.84,45.24,50.02
494426,Curious,2,4,4,2,5,5,1,3,3,4,59.84,60.70,61.73,57.84,52.12,49.91
494425,Curious,3,4,3,4,5,3,3,3,4,3,62.46,60.69,69.06,68.25,68.37,67.13
494424,Caviar,5,4,5,5,3,1,5,2,5,3,66.22,56.61,80.56,85.35,91.97,95.29
494423,Caviar,5,5,5,3,5,1,3,1,5,5,67.83,66.68,84.42,81.22,87.05,89.84
494422,Craver,4,5,5,5,5,2,4,5,4,4,81.92,80.26,97.01,96.49,105.81,101.99
494421,Craver,3,5,3,5,5,5,4,3,3,5,78.38,78.34,87.98,85.93,91.24,85.52
494420,Comfy,2,4,3,4,3,3,3,4,4,4,56.63,53.96,60.21,60.22,57.30,55.50
494419,Caviar,4,3,4,3,3,1,4,1,4,3,44.25,34.65,50.88,55.00,51.35,58.15
494418,Comfy,2,4,2,4,3,4,3,4,5,1,56.16,52.72,56.06,57.33,52.92,50.50
494416,Craver,4,5,4,5,4,4,3,4,3,2,71.77,66.74,79.51,81.41,85.21,81.76
494415,Cheap + Comfy,2,4,2,2,3,4,1,3,1,3,33.88,29.80,28.05,28.06,14.35,15.20
494414,Curious,2,4,3,2,5,3,1,3,5,5,57.35,61.62,61.93,55.39,50.80,49.25
494413,Caviar,5,3,5,5,3,1,5,1,5,1,56.93,43.19,68.10,76.17,79.54,86.05
494412,Curious,3,5,3,3,5,4,3,2,3,5,64.36,65.32,71.85,67.98,67.83,65.88
494411,Craver,5,5,5,5,5,2,5,3,5,5,87.06,84.97,106.57,105.71,118.56,116.26
494409,Craver,4,5,5,5,5,3,3,5,5,5,89.44,90.57,105.13,102.12,112.69,106.47
494408,Craver,3,5,4,4,5,3,4,3,5,5,77.26,78.78,90.37,86.77,92.81,89.76
494407,Comfy,2,3,4,4,3,3,3,3,4,2,50.08,42.50,51.83,55.59,50.43,52.26
494405,Curious,3,3,3,4,5,3,2,2,4,4,56.57,54.04,61.98,61.11,59.03,59.28
494404,Curious,3,5,3,4,5,4,2,3,5,5,74.41,78.01,83.90,78.35,81.77,76.84
494403,Caviar,5,5,5,5,3,3,3,1,3,3,62.95,53.76,73.85,77.41,81.34,83.53
494402,Caviar,5,4,5,5,4,1,4,2,4,5,67.81,61.14,83.39,85.41,92.50,94.61
494401,Curious,2,4,4,2,4,3,3,3,4,3,53.66,51.54,57.15,56.10,50.76,51.91
494400,Caviar,3,4,4,5,4,2,4,3,4,4,63.57,58.98,73.51,74.93,77.82,77.83
494399,Cheap + Curious,1,5,1,2,5,3,1,4,3,5,46.89,53.50,46.57,38.81,30.04,26.71
494398,Craver,3,3,4,4,5,4,4,4,4,4,74.08,71.14,81.95,82.43,84.89,81.66
494397,Caviar,4,5,3,3,4,2,4,2,4,3,57.56,54.42,66.19,65.74,65.99,67.64
494396,Craver,4,5,4,5,1,2,4,4,4,5,63.65,56.79,73.42,76.14,79.52,78.32
494395,Curious,3,4,4,3,5,5,2,3,5,4,74.83,75.95,81.98,78.27,79.34,75.40
494394,Craver,3,5,3,4,5,4,4,3,4,5,75.34,76.79,85.57,82.15,86.45,82.13
494393,Cheap + Curious,2,5,2,2,5,4,3,5,5,5,71.95,78.99,77.64,70.16,69.44,62.78
494392,Caviar,5,5,5,5,5,1,5,1,5,3,72.99,67.58,91.25,92.62,102.60,105.44
494391,Comfy,3,3,4,4,3,4,1,2,4,3,52.33,45.69,54.23,56.13,51.24,52.23
494389,Comfy,3,3,2,4,4,5,2,4,3,3,59.49,55.80,59.15,60.01,55.72,51.76
494388,Comfy,4,4,4,4,3,4,3,2,3,3,59.29,51.43,64.65,67.69,66.76,67.38
494386,Curious,2,5,3,4,4,4,1,5,2,3,56.73,56.07,57.51,55.89,51.51,47.14
494384,Craver,4,5,4,4,5,2,3,5,5,3,76.39,76.81,88.42,86.14,92.15,88.46
494381,Curious,4,5,3,3,4,3,2,4,3,4,61.77,60.99,67.87,65.54,64.78,62.21
494380,Caviar,3,4,4,4,5,1,4,2,4,4,57.62,54.42,68.48,68.36,69.83,72.53
494379,Caviar,4,2,4,4,4,1,3,1,3,4,43.65,33.74,50.12,54.45,50.97,57.26
494378,Craver,4,5,4,4,5,5,2,3,4,4,79.56,79.89,89.29,86.11,90.85,85.85
494377,Cheap + Curious,2,4,2,3,4,5,1,5,4,4,62.50,64.96,62.23,58.15,53.09,46.76
494376,Caviar,5,3,4,5,3,2,4,2,4,3,59.52,48.74,68.75,74.40,76.92,79.65
494375,Curious,4,4,3,3,4,4,3,1,5,4,63.89,61.52,71.37,69.78,69.83,69.87
494374,Craver,3,5,5,4,5,2,3,3,4,5,69.88,69.86,82.91,80.05,84.50,83.63
494373,Craver,4,4,4,5,3,2,3,4,5,4,67.74,63.06,77.87,79.15,83.17,81.58
494372,Caviar,5,5,5,5,5,2,3,2,3,4,70.68,65.97,85.46,85.89,93.17,93.64
494371,Caviar,5,4,5,5,4,2,5,2,5,4,76.04,69.19,92.09,94.73,103.74,104.65
494370,Caviar,4,4,4,4,4,1,4,1,4,4,54.51,48.42,65.58,67.09,68.48,72.87
494369,Craver,5,4,5,5,5,2,4,3,5,5,82.28,79.09,99.57,99.39,109.87,108.25
494368,Curious,3,5,3,4,4,4,3,3,5,4,71.16,71.70,79.33,76.45,78.93,75.16
494367,Curious,4,4,4,3,5,2,2,3,4,3,59.88,57.57,67.91,66.68,66.36,67.15
494366,Caviar,3,3,5,5,3,2,2,1,2,3,40.78,28.97,44.82,50.61,45.80,51.68
494365,Caviar,3,4,4,2,3,1,4,1,4,3,41.10,34.49,46.77,48.46,42.68,49.56
494363,Craver,3,5,4,4,5,3,3,2,4,5,68.51,68.89,79.77,76.45,79.79,78.53
494362,Comfy,3,3,3,4,4,3,3,3,4,4,58.18,54.13,63.14,63.90,62.10,61.61
494361,Curious,3,4,3,4,4,4,3,2,5,4,65.62,63.92,72.54,71.16,71.76,70.09
494360,Caviar,5,3,5,5,4,1,4,2,4,4,63.38,54.13,76.67,80.93,85.99,89.38
494359,Caviar,3,5,5,3,4,2,4,2,4,4,61.42,58.38,72.30,71.54,72.78,75.01
494358,Caviar,4,2,4,4,3,2,3,2,3,5,49.25,39.54,54.85,59.09,55.99,59.62
494357,Caviar,4,4,4,5,3,2,5,2,4,3,60.82,51.85,70.89,75.50,78.65,80.94
494356,Craver,4,4,4,5,5,2,4,3,4,4,70.66,66.94,83.23,83.90,89.79,89.00
494355,Comfy,3,3,3,3,3,3,4,3,3,2,47.30,38.82,48.05,52.43,46.10,48.38
494354,Caviar,5,5,5,5,5,1,5,2,5,5,79.73,76.81,99.82,99.26,111.14,111.53
494353,Cheap + Curious,2,5,1,4,5,4,2,4,5,5,68.45,74.91,73.79,66.79,66.99,60.04
494352,Craver,4,5,3,4,5,4,2,3,4,2,68.74,67.71,75.71,73.99,75.91,72.86
494351,Caviar,5,2,5,5,3,5,5,1,3,3,68.44,53.73,76.13,84.77,87.56,89.45
494350,Craver,4,4,4,3,5,3,4,4,3,4,70.01,67.34,79.16,78.87,81.08,79.25
494349,Caviar,5,3,4,5,3,1,3,2,4,4,54.82,45.29,64.62,68.85,70.61,74.05
494348,Comfy,3,2,4,4,2,4,2,4,2,2,45.44,33.15,42.45,49.65,41.23,42.35
494347,Comfy,3,4,3,3,4,4,3,4,4,2,62.09,59.27,65.00,65.16,62.54,60.30
494346,Craver,5,5,5,5,5,2,4,4,5,4,85.94,84.05,103.53,102.74,114.41,111.23
494345,Caviar,5,5,5,5,5,1,4,1,4,3,67.23,61.28,83.57,85.06,92.86,96.13
494344,Curious,3,5,3,3,4,4,3,1,4,5,61.30,61.16,68.65,65.25,64.46,63.94
494343,Caviar,4,4,5,5,4,1,4,1,5,4,63.00,56.56,77.35,79.26,84.57,88.33
494342,Caviar,4,4,4,5,4,2,3,2,4,3,59.96,53.65,69.51,71.67,74.06,75.67
494341,Craver,5,3,5,4,5,3,2,4,4,4,74.97,70.67,85.67,86.16,90.62,88.56
494340,Curious,3,3,3,4,5,4,3,3,5,3,67.79,65.68,73.59,73.19,73.55,71.24
494339,Caviar,5,5,5,5,5,1,4,2,4,5,73.97,70.51,92.13,91.70,101.40,102.22
494338,Caviar,5,3,5,5,3,2,4,2,3,3,58.72,46.09,68.26,75.17,77.54,81.20
494337,Craver,5,5,5,5,4,3,4,4,4,3,81.28,76.01,95.12,96.98,105.96,103.06
494336,Craver,4,5,4,4,5,4,3,4,4,5,82.31,83.41,94.30,90.89,97.44,91.90
494335,Caviar,3,5,5,4,5,2,3,2,5,5,70.42,70.88,84.57,81.07,86.15,86.16
494334,Caviar,4,5,4,3,3,2,4,1,4,4,55.58,50.42,65.33,65.72,65.87,69.35
494333,Caviar,5,5,5,5,5,1,5,1,5,5,76.74,73.22,96.91,96.50,107.86,109.61
494332,Comfy,2,3,3,5,4,2,3,3,5,4,56.11,52.97,62.13,62.60,61.55,61.54
494331,Caviar,4,4,4,3,3,3,3,1,3,2,47.86,38.87,51.94,55.44,51.12,55.54
494330,Caviar,4,4,5,5,5,1,5,1,5,4,68.83,63.44,85.33,86.80,94.39,97.66
494329,Craver,4,3,4,5,2,3,4,4,4,3,62.75,52.53,68.69,74.64,75.64,75.13
494328,Cheap + Curious,3,5,1,2,5,3,1,5,5,5,63.90,71.84,68.34,59.58,57.10,50.96
494327,Caviar,5,5,5,5,5,1,4,1,5,3,70.76,65.89,88.13,88.84,97.80,100.57
494326,Craver,4,5,4,4,5,3,3,3,4,3,71.23,69.61,81.89,80.56,84.77,82.99
494325,Caviar,5,5,5,5,5,1,4,1,4,5,70.98,66.92,89.23,88.94,98.12,100.30
494324,Caviar,4,3,4,5,3,2,4,2,4,3,56.04,45.97,63.89,69.17,69.96,72.93
494323,Caviar,5,5,5,4,4,2,4,2,3,4,67.08,60.90,80.59,82.08,87.36,89.02
494322,Caviar,4,4,4,4,3,2,3,2,3,2,48.73,39.46,54.13,58.35,55.88,59.66
494321,Curious,3,5,3,3,5,3,3,3,4,4,64.66,66.12,72.65,68.87,69.29,67.34
494320,Curious,3,4,3,3,5,4,2,5,5,5,75.61,79.41,82.70,77.47,78.86,72.51
494319,Curious,4,1,4,3,5,3,1,5,5,5,67.59,65.30,73.02,72.14,70.79,68.10
494318,Cheap + Curious,1,3,1,1,3,5,1,5,4,3,43.81,44.88,35.46,32.44,17.85,14.30
494317,Caviar,5,5,5,5,3,1,4,1,4,1,56.27,45.27,68.19,73.69,77.57,83.04
494316,Caviar,5,4,5,5,4,2,4,2,5,4,73.81,67.50,88.97,90.95,98.93,99.79
494314,Craver,4,5,4,4,5,2,4,2,5,4,71.53,70.56,85.65,83.60,89.73,89.65
494313,Caviar,5,3,5,5,4,1,5,1,4,3,60.75,49.41,74.05,80.02,84.88,90.24
494312,Craver,5,5,3,3,5,2,5,2,5,5,74.16,74.31,89.26,86.16,92.96,92.30
494311,Craver,5,5,5,5,5,2,3,2,5,4,77.74,75.18,94.60,93.45,103.03,102.53
494309,Caviar,4,3,4,4,3,1,3,1,5,2,45.91,36.32,52.62,56.91,54.45,60.67
494308,Cheap + Curious,2,5,1,1,3,5,1,5,3,2,46.99,48.60,40.70,37.03,25.01,20.79
494307,Caviar,4,2,5,5,2,1,5,1,5,2,49.17,33.87,57.32,66.60,66.31,73.81
494305,Comfy,3,3,3,3,4,3,3,3,3,3,50.55,45.13,52.62,54.33,48.94,50.06
494304,Caviar,4,4,4,4,4,2,3,3,2,4,55.54,49.26,62.99,64.96,64.51,65.77
494303,Cheap + Comfy,2,3,2,3,3,5,3,5,4,3,58.93,56.15,56.89,57.50,51.17,46.79
494302,Comfy,4,4,3,4,4,3,3,4,2,4,60.14,55.47,65.67,66.87,66.36,64.50
494301,Caviar,5,3,4,5,3,2,4,2,3,3,55.99,44.13,64.19,70.63,71.98,75.20
494300,Cheap + Comfy,1,2,2,3,3,3,3,4,4,2,39.35,33.63,34.71,37.63,26.16,27.29
494299,Curious,3,5,3,5,3,5,1,1,4,4,60.15,57.50,64.83,63.41,62.52,60.53
494298,Comfy,3,4,3,4,4,3,4,2,3,4,56.44,51.82,62.67,63.69,62.57,63.25
494296,Caviar,4,4,4,4,4,2,2,1,5,4,57.92,54.21,67.76,66.99,67.93,70.40
494295,Caviar,5,2,5,5,2,2,5,2,5,3,61.85,47.62,71.77,80.22,83.31,87.35
494294,Curious,4,5,4,3,5,3,2,4,4,5,73.51,75.56,84.21,79.55,82.91,79.20
494293,Caviar,5,4,5,5,3,1,4,1,4,2,55.59,43.90,67.13,73.09,76.32,81.98
494291,Curious,2,4,3,3,5,3,4,3,5,4,64.39,65.46,71.58,68.66,68.19,66.78
494290,Curious,3,4,3,3,4,2,3,2,5,4,54.71,53.19,61.71,59.90,57.91,59.44
494289,Caviar,5,5,5,5,4,2,5,2,4,4,75.06,68.78,91.41,93.50,102.69,103.35
494288,Caviar,4,2,4,4,3,3,4,1,2,4,47.43,34.79,51.51,58.11,54.08,58.85
494287,Caviar,4,4,4,5,4,2,4,3,3,2,59.78,51.50,68.14,72.50,74.59,75.93
494285,Caviar,5,4,5,5,5,2,5,2,5,4,79.65,74.38,96.95,98.48,108.76,109.11
494284,Curious,2,5,2,3,5,3,2,3,4,4,56.22,59.70,60.59,55.31,51.97,49.76
494283,Craver,5,5,5,5,3,3,4,3,5,5,81.96,77.49,97.58,98.13,107.84,105.29
494282,Craver,5,5,5,5,5,5,5,5,5,5,106.07,105.88,123.93,122.33,137.51,128.55
