Respondent,I always choose higher end hotels,On vacation I pride myself on discovering new places and things my friends have not seen before,I choose more expensive hotels and accommodations to make sure I get the best service and amenities,It is important for me to be in a luxurious setting and to be pampered on vacation,I like to immerse myself in the local culture when on vacation,The difference between luxury and standard hotels just is not big enough to justify the cost,I always pay more for a higher class of room on my vacations,I would rather spend as little as possible on accommodations so I have more money to spend on other parts of my vacation,I think spending more for unique experiences is part of what makes a vacation special,I like to go on vacations that are off the beaten path,Constant
Cheap + Comfy,3.480,2.552,2.732,2.225,3.606,4.344,2.230,2.988,3.530,1.874,-41.736
Cheap + Curious,2.770,4.190,1.959,1.579,5.185,4.576,1.694,3.588,4.606,2.820,-58.956
Curious,4.866,3.886,4.075,3.129,4.859,3.847,3.119,2.907,4.568,2.830,-66.499
Comfy,5.229,2.538,4.544,3.857,3.747,3.701,3.786,2.755,3.776,1.939,-57.042
Craver,6.956,3.885,5.557,5.598,5.017,4.127,4.806,3.286,4.932,2.628,-96.451
Caviar,6.717,3.148,6.001,5.022,4.459,2.815,4.864,1.919,4.444,2.085,-78.828
